"year","ctr_code","RGN21NM","geography_code","geography_name","sex_name","age_code","LE","QALE"
2019,"E","North East","E08000022","North Tyneside","Female",0,82.5112466515579,65.5860902666628
2019,"E","North East","E08000023","South Tyneside","Female",0,81.7522941247489,65.0517822551365
2019,"E","North East","E08000024","Sunderland","Female",0,81.2605167864147,64.6806538263276
2019,"E","North East","E08000037","Gateshead","Female",0,81.9196775662611,65.1485640826666
2019,"E","North East","E06000001","Hartlepool","Male",0,76.8076889568118,64.9437578021892
2019,"E","North East","E06000002","Middlesbrough","Male",0,75.8333496547168,64.1933170189475
2019,"E","North East","E06000003","Redcar and Cleveland","Male",0,78.1986757662727,66.0358815831322
2019,"E","North East","E06000004","Stockton-on-Tees","Male",0,78.6000893104109,66.354332226519
2019,"E","North East","E06000005","Darlington","Male",0,78.8117353427642,66.5117217999318
2019,"E","North East","E06000047","County Durham","Male",0,78.121415562733,65.9757675135644
2019,"E","North East","E06000057","Northumberland","Male",0,79.6300935737333,67.1410395795583
2019,"E","North East","E08000021","Newcastle upon Tyne","Male",0,77.5530097986557,65.5374031707672
2019,"E","North East","E08000022","North Tyneside","Male",0,78.7962810122704,66.5152732672163
2019,"E","North East","E08000023","South Tyneside","Male",0,76.9512651166443,65.0706866715462
2019,"E","North East","E08000024","Sunderland","Male",0,76.9226417307849,65.0450555771962
2019,"E","North East","E08000037","Gateshead","Male",0,77.4231252405092,65.4193194159281
2019,"E","North West","E06000006","Halton","Female",0,81.8845980076048,65.1267594191021
2019,"E","North West","E06000007","Warrington","Female",0,82.8040275266641,65.7909414162829
2019,"E","North West","E06000008","Blackburn with Darwen","Female",0,80.6758460851772,64.2745367056557
2019,"E","North West","E06000009","Blackpool","Female",0,79.0989946765036,63.0768159809582
2019,"E","North West","E06000049","Cheshire East","Female",0,84.0552255959837,66.6783293265035
2019,"E","North West","E06000050","Cheshire West and Chester","Female",0,83.7387139257914,66.4712669257639
2019,"E","North West","E07000026","Allerdale","Female",0,83.1139035965415,66.011862911565
2019,"E","North West","E07000027","Barrow-in-Furness","Female",0,81.2058756962172,64.6325714284523
2019,"E","North West","E07000028","Carlisle","Female",0,82.7096276964453,65.7139151580876
2019,"E","North West","E07000029","Copeland","Female",0,82.0934167954891,65.2509680598173
2019,"E","North West","E07000030","Eden","Female",0,86.5001115826596,68.4109201549142
2019,"E","North West","E07000031","South Lakeland","Female",0,85.4292803781033,67.6674765640616
2019,"E","North West","E07000117","Burnley","Female",0,81.0644257071329,64.5630341570744
2019,"E","North West","E07000118","Chorley","Female",0,82.4673304129674,65.581901705221
2019,"E","North West","E07000119","Fylde","Female",0,83.8341009278606,66.5607309078384
2019,"E","North West","E07000120","Hyndburn","Female",0,81.6441546455695,64.9939924529381
2019,"E","North West","E07000121","Lancaster","Female",0,82.6473755163403,65.6580563167818
2019,"E","North West","E07000122","Pendle","Female",0,81.8646739866899,65.1134198301973
2019,"E","North West","E07000123","Preston","Female",0,80.7547806537547,64.3151088656974
2019,"E","North West","E07000124","Ribble Valley","Female",0,84.3273574351332,66.8864270662201
2019,"E","North West","E07000125","Rossendale","Female",0,82.3041401383678,65.4799995924481
2019,"E","North West","E07000126","South Ribble","Female",0,84.3414852538788,66.8904328603104
2019,"E","North West","E07000127","West Lancashire","Female",0,83.1879726874053,66.082864750654
2019,"E","North West","E07000128","Wyre","Female",0,82.8557262560827,65.8004906345266
2019,"E","North West","E08000001","Bolton","Female",0,81.3610609485035,64.7323597183106
2019,"E","North West","E08000002","Bury","Female",0,82.4789095854519,65.5754774495689
2019,"E","North West","E08000003","Manchester","Female",0,80.0175119810402,63.7986058424626
2019,"E","North West","E08000004","Oldham","Female",0,80.8308355060763,64.3467260227703
2019,"E","North West","E08000005","Rochdale","Female",0,81.2123571079587,64.6377780170802
2019,"E","North West","E08000006","Salford","Female",0,80.7305035957011,64.3056952984195
2019,"E","North West","E08000007","Stockport","Female",0,83.5461799583122,66.2863281439765
2019,"E","North West","E08000008","Tameside","Female",0,80.5479996006174,64.2102697832634
2019,"E","North West","E08000009","Trafford","Female",0,84.229917494046,66.8101470007094
2019,"E","North West","E08000010","Wigan","Female",0,81.471033143237,64.8458101813145
2019,"E","North West","E08000011","Knowsley","Female",0,79.944997689512,63.7479619052965
2019,"E","North West","E08000012","Liverpool","Female",0,80.0498434539386,63.7999667281996
2019,"E","North West","E08000013","St. Helens","Female",0,81.4852942989843,64.8466191830912
2019,"E","North West","E08000014","Sefton","Female",0,82.5556431411891,65.5722205042122
2019,"E","North West","E08000015","Wirral","Female",0,81.9001393820557,65.1179099973035
2019,"E","North West","E06000006","Halton","Male",0,77.6914249920536,65.2215576081327
2019,"E","North West","E06000007","Warrington","Male",0,79.2776924662325,66.4489077190967
2019,"E","North West","E06000008","Blackburn with Darwen","Male",0,76.7014150339135,64.4548804621431
2019,"E","North West","E06000009","Blackpool","Male",0,74.09785078208,62.3711453649742
2019,"E","North West","E06000049","Cheshire East","Male",0,80.5973659958841,67.4148010944146
2019,"E","North West","E06000050","Cheshire West and Chester","Male",0,80.0461381604834,66.9898031363151
2019,"E","North West","E07000026","Allerdale","Male",0,79.66534146712,66.7071773757386
2019,"E","North West","E07000027","Barrow-in-Furness","Male",0,77.9226870175134,65.3894181539712
2019,"E","North West","E07000028","Carlisle","Male",0,78.3353806510064,65.6379082020567
2019,"E","North West","E07000029","Copeland","Male",0,78.5110116570711,65.8080071901294
2019,"E","North West","E07000030","Eden","Male",0,83.0522912460636,69.3059378137547
2019,"E","North West","E07000031","South Lakeland","Male",0,80.994808688362,67.7115321624311
2019,"E","North West","E07000117","Burnley","Male",0,76.0658595431633,63.9283291357896
2019,"E","North West","E07000118","Chorley","Male",0,79.4951810543472,66.6039748035239
2019,"E","North West","E07000119","Fylde","Male",0,80.3732235297418,67.265947602642
2019,"E","North West","E07000120","Hyndburn","Male",0,77.0175554832566,64.6998973053814
2019,"E","North West","E07000121","Lancaster","Male",0,78.8927831993294,66.1094778869863
2019,"E","North West","E07000122","Pendle","Male",0,78.6283569257426,65.9166033988018
2019,"E","North West","E07000123","Preston","Male",0,77.1983127077081,64.8252487193238
2019,"E","North West","E07000124","Ribble Valley","Male",0,82.0540895486772,68.5575115832477
2019,"E","North West","E07000125","Rossendale","Male",0,77.9535115854824,65.3587171799977
2019,"E","North West","E07000126","South Ribble","Male",0,80.3407330106125,67.2432993806786
2019,"E","North West","E07000127","West Lancashire","Male",0,79.2595071511896,66.4378560863966
2019,"E","North West","E07000128","Wyre","Male",0,78.0281759269364,65.4234627527416
2019,"E","North West","E08000001","Bolton","Male",0,77.5233710622832,65.0561718969687
2019,"E","North West","E08000002","Bury","Male",0,78.6661099703354,65.9562909613439
2019,"E","North West","E08000003","Manchester","Male",0,75.6262976425284,63.6333027197538
2019,"E","North West","E08000004","Oldham","Male",0,77.359005184517,64.943521297321
2019,"E","North West","E08000005","Rochdale","Male",0,77.0254362240848,64.6835313249524
2019,"E","North West","E08000006","Salford","Male",0,77.4318287672112,65.0174424657208
2019,"E","North West","E08000007","Stockport","Male",0,79.7053586199615,66.7350364371114
2019,"E","North West","E08000008","Tameside","Male",0,77.1451262287469,64.8156240815823
2019,"E","North West","E08000009","Trafford","Male",0,80.4825430507137,67.3620065985593
2019,"E","North West","E08000010","Wigan","Male",0,77.7660205704151,65.2717341743193
2019,"E","North West","E08000011","Knowsley","Male",0,76.3539558721187,64.1702066870141
2019,"E","North West","E08000012","Liverpool","Male",0,76.3759263270669,64.2136148091759
2019,"E","North West","E08000013","St. Helens","Male",0,77.7005215261429,65.1977788211082
2019,"E","North West","E08000014","Sefton","Male",0,78.2740302366317,65.6201921961541
2019,"E","North West","E08000015","Wirral","Male",0,78.1426859841545,65.538304127369
2019,"S","Scotland","S12000005","Clackmannanshire","Female",0,80.6506950664026,63.8166793506622
2019,"S","Scotland","S12000006","Dumfries and Galloway","Female",0,81.8958349398088,64.7021162907943
