"geography_name","sex_name","age_code","age_name","year","N","source","mean_pcs","mean_mcs","mean_pcs_wt","mean_mcs_wt","eq5d_util_lf_6v_wt"
"London","Female",54,"50-54",2019,216,"US",48.0803703703704,48.6495833333333,49.3649577842887,50.2096317626336,0.83616415189336
"London","Female",59,"55-59",2019,185,"US",45.710972972973,46.4541081081081,48.6291151966514,47.0340970530092,0.799355527794222
"London","Female",64,"60-64",2019,120,"US",46.8339166666667,47.3444166666667,48.703973251325,46.7083621550329,0.79722471547742
"London","Female",69,"65-69",2019,104,"US",45.4719230769231,49.9201923076923,46.3373073051482,51.832182327097,0.814996502465144
"London","Female",74,"70-74",2019,99,"US",41.9288888888889,49.5093939393939,41.6742033840786,50.59865969108,0.75324134247659
"London","Female",79,"75-79",2019,71,"US",41.4038028169014,52.8,46.0182151000836,53.6112156205509,0.825781769504756
"London","Female",84,"80-84",2019,25,"US",37.328,49.3632,35.2240718574468,49.2612794659506,0.662018214627725
"London","Female",85,"85_plus",2019,24,"US",28.27375,51.3295833333333,26.0605632136806,54.4189651483507,0.561742727555258
"London","Male",20,"under_20",2019,126,"US",55.0366666666667,49.0369047619048,55.0061023566244,50.5206595044166,0.913453780160967
"London","Male",24,"20-24",2019,131,"US",54.303893129771,47.4758015267176,55.1579512170539,44.8620030001017,0.868835672784709
"London","Male",29,"25-29",2019,116,"US",54.113275862069,47.8853448275862,55.2143164095384,47.9053413564807,0.89603500182661
"London","Male",34,"30-34",2019,115,"US",52.8255652173913,46.8658260869565,55.5733946506351,43.1719173198092,0.859779570667451
"London","Male",39,"35-39",2019,93,"US",51.7776344086022,44.8684946236559,52.2392139032284,47.3449039118007,0.848312504385424
"London","Male",44,"40-44",2019,139,"US",52.5760431654676,47.9896402877698,51.9216037827376,47.0461173630522,0.841383924949693
"London","Male",49,"45-49",2019,168,"US",51.4679166666667,49.1650595238095,52.3026226745984,47.7248176740447,0.852476720285306
"London","Male",54,"50-54",2019,172,"US",50.1335465116279,48.9268023255814,51.4278556971273,48.0034166770968,0.843226546508764
"London","Male",59,"55-59",2019,134,"US",50.1782089552239,48.5058208955224,51.5875430439225,47.812485287964,0.843667186247137
"London","Male",64,"60-64",2019,85,"US",48.0874117647059,50.8434117647059,47.2012375610189,50.6837709500464,0.815036129754711
"London","Male",69,"65-69",2019,108,"US",45.9571296296296,51.5566666666667,45.5554160655412,51.5234316247678,0.803857299017333
"London","Male",74,"70-74",2019,65,"US",45.9593846153846,50.7486153846154,45.9068651216491,48.9662806593135,0.785362858007072
"London","Male",79,"75-79",2019,67,"US",42.4823880597015,52.4705970149254,41.6314488696178,53.6779426670861,0.779696191788973
